Country,City,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
ru,sertolovo,60.144399,30.201649,,,,
br,sao manuel,-22.733333,-48.566666999999995,,,,
ph,baloy,15.7533,120.7832,,,,
ro,frumoasa,46.45,25.85,,,,
de,gehrden,52.316666999999995,9.6,,,,
us,converse,29.517777799999998,-98.3158333,,,,
us,barrington,42.1538889,-88.1361111,,,,
rs,rusanj,44.681667,20.440556,,,,
de,malchin,53.733332999999995,12.783333,,,,
de,heddesheim,49.505556,8.603611,,,,
ru,chebsara,59.146294999999995,38.756893,,,,
us,colleyville,32.8808333,-97.15472220000001,,,,
ph,salaza,15.4541,119.9553,,,,
hr,kutina,45.475,16.7819444,,,,
br,macae,-22.383333,-41.783333,,,,
gr,tsikalaria,35.4833333,24.0666667,,,,
ro,acas,47.533333,22.783333,,,,
ph,burias,5.717778,125.253611,,,,
ro,craiova,44.316666999999995,23.8,,,,
bd,netrakona,24.8833333,90.7166667,,,,
co,purace,2.342491,-76.495809,,,,
ng,nkpor,6.151641000000001,6.844585,,,,
mx,zaragoza,28.483333000000002,-100.916667,,,,
co,tota,5.558326999999999,-72.987567,,,,
nl,maastricht,50.85,5.683333,,,,
ru,nikolayevka,53.125699,47.2041,,,,
ie,cavan,53.9908333,-7.3605556,,,,
hu,mor,47.377871999999996,18.203534,,,,
us,griffith,41.5283333,-87.42361109999999,,,,
ph,pidigan,17.57,120.5903,,,,
us,gahanna,40.0191667,-82.8794444,,,,
dk,borkop,55.637935,9.648225,,,,
mk,staro nagoricane,42.1980556,21.8286111,,,,
hu,encs,48.333333,21.133333,,,,
ru,borovikha,53.5072,83.8379,,,,
gb,fairlie,55.75,-4.85,,,,
kz,komsomolets,53.745278000000006,62.07083299999999,,,,
us,portland,41.5727778,-72.64111109999999,,,,
bt,punakha,27.616666700000003,89.8666667,,,,
ph,limon,12.3,122.016667,,,,
de,loxstedt,53.466667,8.65,,,,
ca,fenelon falls,44.533333,-78.75,,,,
in,kayankulam,9.183333,76.5,,,,
ru,volno-nadezhdinskoye,43.383333,131.991667,,,,
in,sabathu,30.971944,76.99333299999999,,,,
ru,pervomayskiy,51.5367,55.00464300000001,,,,
no,siljan,59.3,9.7,,,,
za,barkly west,-28.535365999999996,24.521506,,,,
ru,makhachkala,42.976378000000004,47.502356,,,,
gb,scalloway,60.13333299999999,-1.3,,,,
co,simiti,7.9579,-73.9436,,,,
ru,kamenka,43.533333,43.516667,,,,
ml,dire,12.2833333,-10.9666667,,,,
az,badamdar,40.339444,49.803889,,,,
be,brussels,50.833333,4.3333330000000005,,,,
es,torremolinos,36.625085,-4.498327,,,,
ru,elektrostal,55.789593,38.446711,,,,
gr,svoronos,40.264444399999995,22.46,,,,
